NAME,FAMILY,HEX,RED,GREEN,BLUE
Aquamarine,blue,#7FFFD4,127,255,212
Turquoise,blue,#40E0D0,64,224,208
MediumTurquoise,blue,#48D1CC,72,209,204
DarkTurquoise,blue,#00CED1,0,206,209
CadetBlue,blue,#5F9EA0,95,158,160
SteelBlue,blue,#4682B4,70,130,180
LightSteelBlue,blue,#B0C4DE,176,196,222
PowderBlue,blue,#B0E0E6,176,224,230
LightBlue,blue,#ADD8E6,173,216,230
SkyBlue,blue,#87CEEB,135,206,235
LightSkyBlue,blue,#87CEFA,135,206,250
DeepSkyBlue,blue,#00BFFF,0,191,255
DodgerBlue,blue,#1E90FF,30,144,255
CornflowerBlue,blue,#6495ED,100,149,237
MediumSlateBlue,blue,#7B68EE,123,104,238
RoyalBlue,blue,#4169E1,65,105,225
Blue,blue,#0000FF,0,0,255
MediumBlue,blue,#0000CD,0,0,205
DarkBlue,blue,#00008B,0,0,139
Navy,blue,#000080,0,0,128
MidnightBlue,blue,#191970,25,25,112
Cornsilk,brown,#FFF8DC,255,248,220
BlanchedAlmond,brown,#FFEBCD,255,235,205
Bisque,brown,#FFE4C4,255,228,196
NavajoWhite,brown,#FFDEAD,255,222,173
Wheat,brown,#F5DEB3,245,222,179
BurlyWood,brown,#DEB887,222,184,135
Tan,brown,#D2B48C,210,180,140
RosyBrown,brown,#BC8F8F,188,143,143
SandyBrown,brown,#F4A460,244,164,96
Goldenrod,brown,#DAA520,218,165,32
DarkGoldenrod,brown,#B8860B,184,134,11
Peru,brown,#CD853F,205,133,63
Chocolate,brown,#D2691E,210,105,30
SaddleBrown,brown,#8B4513,139,69,19
Sienna,brown,#A0522D,160,82,45
Brown,brown,#A52A2A,165,42,42
Maroon,brown,#800000,128,0,0
White,white,#FFFFFF,255,255,255
Snow,white,#FFFAFA,255,250,250
HoneyDew,white,#F0FFF0,240,255,240
MintCream,white,#F5FFFA,245,255,250
Azure,white,#F0FFFF,240,255,255
AliceBlue,white,#F0F8FF,240,248,255
GhostWhite,white,#F8F8FF,248,248,255
WhiteSmoke,white,#F5F5F5,245,245,245
SeaShell,white,#FFF5EE,255,245,238
Beige,white,#F5F5DC,245,245,220
OldLace,white,#FDF5E6,253,245,230
FloralWhite,white,#FFFAF0,255,250,240
Ivory,white,#FFFFF0,255,255,240
AntiqueWhite,white,#FAEBD7,250,235,215
Linen,white,#FAF0E6,250,240,230
LavenderBlush,white,#FFF0F5,255,240,245
MistyRose,white,#FFE4E1,255,228,225
Gainsboro,grey,#DCDCDC,220,220,220
LightGray,grey,#D3D3D3,211,211,211
Silver,grey,#C0C0C0,192,192,192
DarkGray,grey,#A9A9A9,169,169,169
Gray,grey,#808080,128,128,128
DimGray,grey,#696969,105,105,105
LightSlateGray,grey,#778899,119,136,153
SlateGray,grey,#708090,112,128,144
DarkSlateGray,grey,#2F4F4F,47,79,79
Black,grey,#000000,0,0,0
LightGrey,grey,#D3D3D3,211,211,211
DarkGrey,grey,#A9A9A9,169,169,169
Grey,grey,#808080,128,128,128
DimGrey,grey,#696969,105,105,105
LightSlateGrey,grey,#778899,119,136,153
SlateGrey,grey,#708090,112,128,144
DarkSlateGrey,grey,#2F4F4F,47,79,79
